dataset,pred_len,lr,dropout,train_epochs,batch_size,mse,mae,mape,msmape,tag
electricity,96,0.005,0.0,10,16,0.20258085429668427,0.3147965669631958,1.492108702659607,46.74379825592041,electricity_pl96_lr0p005_do0p0_ep10_bs16
electricity,192,0.005,0.0,10,16,0.233112171292305,0.3365054428577423,1.6215122938156128,49.32034909725189,electricity_pl192_lr0p005_do0p0_ep10_bs16
etth1,96,0.005,0.0,10,32,0.056085553020238876,0.17896412312984467,0.14089591801166534,13.626103103160858,etth1_pl96_lr0p005_do0p0_ep10_bs32
etth1,192,0.005,0.0,10,32,0.07536507397890091,0.20806261897087097,0.15534810721874237,15.595659613609314,etth1_pl192_lr0p005_do0p0_ep10_bs32
weather,96,0.005,0.0,10,16,0.004738893825560808,0.053937386721372604,0.7732972502708435,17.979133129119873,weather_pl96_lr0p005_do0p0_ep10_bs16
weather,192,0.005,0.0,10,16,0.0059991078451275826,0.06458152830600739,0.9518086910247803,21.52717560529709,weather_pl192_lr0p005_do0p0_ep10_bs16
