data,model,seq_len,pred_len,lr,mse,mae,mape,msmape,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout,ff_dim
ETTh1,tsmixer,336,96,0.0005,0.4574635922908783,0.4652915298938751,1090.40576171875,69.50454711914062,0.7207043766975403,0.581721305847168,0.3704441785812378,0.4423385560512543,92.17736315727234,L,relu,4,0.3,32
ETTh1,tsmixer,336,96,0.0001,0.6037171483039856,0.5666673183441162,1752.301025390625,84.72907257080078,0.7763627767562866,0.6129329204559326,0.33516955375671387,0.4282826781272888,224.6235535144806,L,relu,4,0.05,32
weather,tsmixer,336,96,0.0001,0.15423516929149628,0.22872444987297058,738.6429443359375,42.094356536865234,0.3757888674736023,0.28644055128097534,0.3886256217956543,0.3003121614456177,395.784019947052,L,relu,2,0.3,32
weather,tsmixer,336,96,0.0001,0.15034127235412598,0.21795177459716797,866.089599609375,39.81788635253906,0.3744323253631592,0.28295451402664185,0.3831876516342163,0.2960747480392456,824.5251944065094,L,relu,4,0.3,16
