data,model,seq_len,pred_len,lr,mse,mae,mape,msmape,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout,ff_dim
electricity,tsmixer,336,96,0.0005,0.14526718854904175,0.2538585066795349,256.9876708984375,38.174949645996094,0.12550215423107147,0.23060429096221924,0.14143510162830353,0.2509496510028839,3278.261063814163,L,relu,4,0.3,32
electricity,tsmixer,336,96,0.0001,0.1529536247253418,0.2656901180744171,255.5131378173828,39.68709182739258,0.12955376505851746,0.2366035133600235,0.13747236132621765,0.24625740945339203,3094.74929523468,L,relu,2,0.3,32
electricity,tsmixer,336,96,0.0001,0.14347507059574127,0.2519615590572357,246.668701171875,38.13750076293945,0.12869884073734283,0.234360933303833,0.14044682681560516,0.24934802949428558,6231.401719331741,L,relu,4,0.3,16
