data,model,seq_len,pred_len,lr,mse,mae,mape,msmape,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout,ff_dim
ETTh1,tsmixer,336,96,0.0005,0.516595184803009,0.5206888318061829,1144.4539794921875,76.92086791992188,0.7815708518028259,0.6121619939804077,0.3904028534889221,0.45637381076812744,250.00917863845825,L,relu,2,0.05,2048
ETTh1,tsmixer,336,96,0.0001,0.5229244828224182,0.5220628976821899,1246.51123046875,78.70392608642578,0.781765878200531,0.6108922362327576,0.35446396470069885,0.4334668517112732,659.0937676429749,L,relu,2,0.05,2048
weather,tsmixer,336,96,0.0001,0.18223966658115387,0.2706134617328644,799.3525390625,51.02006149291992,0.40675511956214905,0.32762253284454346,0.40882202982902527,0.3292117714881897,1028.0656352043152,L,relu,2,0.05,2048
weather,tsmixer,336,96,0.0001,0.16511912643909454,0.2475651651620865,732.540771484375,46.20985794067383,0.38553714752197266,0.30228981375694275,0.3858395218849182,0.3022117614746094,350.31940960884094,L,relu,2,0.05,16
ETTh1,tsmixer,336,192,0.0005,0.6954792141914368,0.6371626257896423,1581.87353515625,93.52764129638672,1.0386686325073242,0.7053452730178833,0.3862323760986328,0.4536188244819641,307.6113979816437,L,relu,2,0.05,2048
ETTh1,tsmixer,336,192,0.0001,0.6411007642745972,0.6040131449699402,1591.9620361328125,89.066162109375,1.0290627479553223,0.7078496217727661,0.4047613739967346,0.4653633236885071,571.8342797756195,L,relu,2,0.05,2048
weather,tsmixer,336,192,0.0001,0.21777227520942688,0.2992023229598999,780.9528198242188,54.35285186767578,0.45813941955566406,0.36444616317749023,0.44301244616508484,0.3578597903251648,1021.3336560726166,L,relu,2,0.05,2048
weather,tsmixer,336,192,0.0001,0.216519296169281,0.2990129888057709,882.6881713867188,54.50204849243164,0.445892870426178,0.3485909700393677,0.4293992221355438,0.3404895067214966,361.16666984558105,L,relu,2,0.05,16
