data,model,seq_len,pred_len,lr,mse,mae,mape,msmape,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout
weather,tsmixer,336,96,0.0001,0.15364322066307068,0.228117436170578,618.2456665039062,41.86317825317383,0.37368109822273254,0.28430476784706116,0.3838564157485962,0.2985449731349945,823.7841246128082,L,relu,4,0.3
weather,tsmixer,336,192,0.0001,0.194899320602417,0.264395534992218,911.6932983398438,47.50550079345703,0.43287035822868347,0.32659193873405457,0.45230868458747864,0.3525055944919586,1020.6955626010895,L,relu,4,0.3
ETTh1,tsmixer,336,96,0.0001,0.4605647623538971,0.46831053495407104,1054.22607421875,70.32292938232422,0.7183350920677185,0.5802004337310791,0.3396643400192261,0.42116889357566833,226.05910205841064,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.0001,0.5662115812301636,0.545199453830719,1207.435791015625,81.34337615966797,0.9586541652679443,0.6767002940177917,0.4176062345504761,0.4719967544078827,274.03185844421387,L,relu,4,0.3
electricity,tsmixer,336,96,0.0001,0.15051206946372986,0.2623971104621887,268.90521240234375,39.30211639404297,0.1276867687702179,0.23444248735904694,0.14071789383888245,0.2500508725643158,3186.5283722877502,L,relu,4,0.3
electricity,tsmixer,336,192,0.0001,0.17728355526924133,0.29081207513809204,295.30230712890625,43.15837860107422,0.14853833615779877,0.2585909068584442,0.15963111817836761,0.2688112258911133,1733.158298254013,L,relu,4,0.3
