data,model,seq_len,pred_len,lr,mse,mae,mape,msmape,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout,ff_dim
ETTh1,tsmixer,336,96,0.0005,0.4729941785335541,0.47796830534935,1072.7518310546875,72.34960174560547,0.7222781777381897,0.5816659331321716,0.3589912950992584,0.4344230592250824,57.384005308151245,L,relu,4,0.3,32
ETTh1,tsmixer,336,96,0.001,0.4613878130912781,0.4733971655368805,1028.431640625,70.48085021972656,0.7297114729881287,0.5827194452285767,0.36326318979263306,0.43714338541030884,92.28288722038269,L,relu,4,0.3
ETTh1,tsmixer,336,96,0.005,0.5083103775978088,0.5142375230789185,1043.820068359375,76.25138092041016,0.7388073205947876,0.5918492078781128,0.7291756272315979,0.579189658164978,107.46101260185242,L,relu,4,0.3
ETTh1,tsmixer,336,96,0.0001,0.6066860556602478,0.5686478018760681,1758.2056884765625,84.64166259765625,0.7657467722892761,0.6062131524085999,0.3177165687084198,0.41521501541137695,264.7860345840454,L,relu,4,0.05
ETTh1,tsmixer,336,96,0.0001,0.5440559983253479,0.532315731048584,1394.4517822265625,79.68558502197266,0.7612389922142029,0.6022305488586426,0.3474411070346832,0.43455320596694946,207.78932642936707,L,relu,4,0.1
ETTh1,tsmixer,336,96,0.0001,0.41764092445373535,0.43746253848075867,902.0074462890625,64.25037384033203,0.6894773840904236,0.5652757287025452,0.33870625495910645,0.41523149609565735,458.1173975467682,L,relu,4,0.5
weather,tsmixer,336,96,0.0001,0.15783065557479858,0.2365361750125885,671.33447265625,43.73878479003906,0.3771393299102783,0.28986403346061707,0.3838792145252228,0.29672977328300476,511.07038378715515,L,relu,2,0.3
weather,tsmixer,336,96,0.0001,0.15233784914016724,0.22134564816951752,852.732177734375,40.500247955322266,0.37451687455177307,0.28444787859916687,0.4155047833919525,0.3245128095149994,1099.6902706623077,L,relu,6,0.3
weather,tsmixer,336,96,0.0001,0.15287135541439056,0.2255505472421646,667.630126953125,41.43332290649414,0.37401053309440613,0.2858068645000458,0.4023298919200897,0.3168492019176483,1884.8493390083313,L,relu,8,0.3
weather,tsmixer,336,96,0.0001,0.150477334856987,0.22002290189266205,781.0707397460938,40.43703842163086,0.37283289432525635,0.28376150131225586,0.37608540058135986,0.29091790318489075,1547.1339604854584,L,relu,4,0.3
weather,tsmixer,336,96,0.0001,0.1498958021402359,0.21945826709270477,735.4807739257812,40.092323303222656,0.37390419840812683,0.28217366337776184,0.3991848826408386,0.3123825788497925,1382.5302469730377,L,relu,4,0.3
weather,tsmixer,336,96,0.0001,0.15336771309375763,0.2265283465385437,784.4429931640625,42.1005859375,0.3794388771057129,0.2883208692073822,0.40465664863586426,0.3183886706829071,625.4031918048859,L,relu,4,0.3
ETTh1,tsmixer,336,96,0.0001,0.42231515049934387,0.4403159022331238,889.993896484375,65.10979461669922,0.6911920309066772,0.5705150961875916,0.3266621232032776,0.40997788310050964,82.51030683517456,L,relu,2,0.3
ETTh1,tsmixer,336,96,0.0001,0.4897744059562683,0.486867219209671,1145.14404296875,73.91557312011719,0.7281947135925293,0.5812374949455261,0.34584856033325195,0.4270536005496979,223.30621981620789,L,relu,6,0.3
ETTh1,tsmixer,336,96,0.0001,0.5189099907875061,0.5076500177383423,1193.0697021484375,77.37483215332031,0.7257289886474609,0.5808297991752625,0.3538206219673157,0.43354395031929016,475.7364573478699,L,relu,8,0.3
ETTh1,tsmixer,336,96,0.0001,0.4684939384460449,0.4866507351398468,963.0833129882812,72.13633728027344,0.7373027801513672,0.5877490043640137,0.36215847730636597,0.43526333570480347,121.81681942939758,L,relu,4,0.3
ETTh1,tsmixer,336,96,0.0001,0.4922621548175812,0.5034051537513733,1092.2373046875,75.74716186523438,0.7281889915466309,0.5843465328216553,0.34754255414009094,0.42832711338996887,164.24311232566833,L,relu,4,0.3
ETTh1,tsmixer,336,96,0.0001,0.535286009311676,0.5364294052124023,1355.4649658203125,80.93558502197266,0.7370364665985107,0.5892511010169983,0.35778650641441345,0.43623292446136475,188.88732838630676,L,relu,4,0.3
ETTh1,tsmixer,336,96,0.0001,0.3990403115749359,0.4213186502456665,860.6575317382812,61.683311462402344,0.6636617183685303,0.5564886331558228,0.3214765191078186,0.402216374874115,100.58410024642944,L,relu,2,0.5
weather,tsmixer,336,96,0.0005,0.15436634421348572,0.22687120735645294,925.6988525390625,41.44804763793945,0.37746408581733704,0.28544777631759644,0.42985063791275024,0.33400657773017883,249.2855064868927,L,relu,4,0.3
weather,tsmixer,336,96,0.001,0.15532448887825012,0.2320731282234192,559.5556640625,42.89877700805664,0.3786708116531372,0.29302549362182617,0.3954111933708191,0.3096713721752167,572.1795501708984,L,relu,4,0.3
weather,tsmixer,336,96,0.005,0.1537301391363144,0.2306455671787262,595.9466552734375,42.61807632446289,0.3898496925830841,0.3085489571094513,0.5232900977134705,0.36234208941459656,207.8628008365631,L,relu,4,0.3
weather,tsmixer,336,96,0.0001,0.16190168261528015,0.2379714399576187,641.9695434570312,43.674293518066406,0.3874927759170532,0.30018091201782227,0.3940954804420471,0.3158031105995178,351.65871930122375,L,relu,4,0.05
weather,tsmixer,336,96,0.0001,0.15863901376724243,0.23562422394752502,507.8304748535156,43.19522476196289,0.3808968961238861,0.29356837272644043,0.3731038570404053,0.29532620310783386,437.17666482925415,L,relu,4,0.1
weather,tsmixer,336,96,0.0001,0.14803798496723175,0.21749387681484222,832.792724609375,40.30321502685547,0.3747621774673462,0.2869844138622284,0.3816050887107849,0.2925659418106079,674.58167719841,L,relu,4,0.5
weather,tsmixer,336,96,0.0001,0.14686469733715057,0.21569910645484924,665.8434448242188,39.694461822509766,0.3729332983493805,0.28334373235702515,0.37561124563217163,0.29041972756385803,846.0375163555145,L,relu,6,0.5
